allowance,balanceOf,owner,totalSupply,,,,,,,
allowanceTotal,balanceOf,effectiveTime,newOwner,oldOwner,spentTotal,totalSupply,,,,
allBurn,allMint,allowanceTotal,owner,spentTotal,totalBurn,totalIn,totalMint,totalOut,,
allowanceTotal,balanceOf,owner,spentTotal,totalSupply,,,,,,
allBurn,allMint,allowanceTotal,balanceOf,effectiveTime,newOwner,oldOwner,spentTotal,,,
allowance,balanceOf,swapOwner,totalSupply,,,,,,,
allowanceTotal,spentTotal,swapOwner,totalBurn,totalIn,totalMint,totalOut,totalSupply,,,
allBurn,allMint,allowanceTotal,effectiveTime,newOwner,oldOwner,spentTotal,totalBurn,totalIn,totalMint,totalOut
allBurn,allMint,allowanceTotal,balanceOf,owner,spentTotal,,,,,
allowance,effectiveTime,newOwner,oldOwner,totalBurn,totalIn,totalMint,totalOut,totalSupply,,
allBurn,allMint,allowance,balanceOf,owner,,,,,,
allBurn,allMint,allowance,owner,totalBurn,totalIn,totalMint,totalOut,,,
allowance,swapOwner,totalBurn,totalIn,totalMint,totalOut,totalSupply,,,,
allBurn,allMint,allowance,balanceOf,swapOwner,,,,,,
allowanceTotal,owner,spentTotal,totalBurn,totalIn,totalMint,totalOut,totalSupply,,,
allowanceTotal,effectiveTime,newOwner,oldOwner,spentTotal,totalBurn,totalIn,totalMint,totalOut,totalSupply,
allBurn,allMint,allowance,balanceOf,effectiveTime,newOwner,oldOwner,,,,
allowance,owner,totalBurn,totalIn,totalMint,totalOut,totalSupply,,,,
allBurn,allMint,allowanceTotal,balanceOf,spentTotal,swapOwner,,,,,
allBurn,allMint,allowance,swapOwner,totalBurn,totalIn,totalMint,totalOut,,,
allowance,balanceOf,effectiveTime,newOwner,oldOwner,totalSupply,,,,,
allowanceTotal,balanceOf,spentTotal,swapOwner,totalSupply,,,,,,
allBurn,allMint,allowance,effectiveTime,newOwner,oldOwner,totalBurn,totalIn,totalMint,totalOut,
allBurn,allMint,allowanceTotal,spentTotal,swapOwner,totalBurn,totalIn,totalMint,totalOut,,
