allowanceTotal,isBlackListed,maxFee,owner,rate,spentTotal,totalIn,totalIssue,totalOut,totalRedeem,totalSupply,
addBlackList,allIssue,allRedeem,allowance,maxFee,owner,rate,totalIn,totalIssue,totalOut,totalRedeem,
allIssue,allRedeem,allowanceTotal,balanceOf,isBlackListed,maxFee,owner,rate,spentTotal,,,
addBlackList,allowanceTotal,balanceOf,maxFee,owner,rate,spentTotal,totalSupply,,,,
allowance,balanceOf,isBlackListed,maxFee,owner,rate,totalSupply,,,,,
allIssue,allRedeem,allowanceTotal,isBlackListed,maxFee,owner,rate,spentTotal,totalIn,totalIssue,totalOut,totalRedeem
addBlackList,allIssue,allRedeem,allowance,balanceOf,maxFee,owner,rate,,,,
allowance,isBlackListed,maxFee,owner,rate,totalIn,totalIssue,totalOut,totalRedeem,totalSupply,,
addBlackList,allIssue,allRedeem,allowanceTotal,maxFee,owner,rate,spentTotal,totalIn,totalIssue,totalOut,totalRedeem
addBlackList,allowanceTotal,maxFee,owner,rate,spentTotal,totalIn,totalIssue,totalOut,totalRedeem,totalSupply,
addBlackList,allowance,maxFee,owner,rate,totalIn,totalIssue,totalOut,totalRedeem,totalSupply,,
allowanceTotal,balanceOf,isBlackListed,maxFee,owner,rate,spentTotal,totalSupply,,,,
addBlackList,allowance,balanceOf,maxFee,owner,rate,totalSupply,,,,,
allIssue,allRedeem,allowance,balanceOf,isBlackListed,maxFee,owner,rate,,,,
allIssue,allRedeem,allowance,isBlackListed,maxFee,owner,rate,totalIn,totalIssue,totalOut,totalRedeem,
addBlackList,allIssue,allRedeem,allowanceTotal,balanceOf,maxFee,owner,rate,spentTotal,,,
